scenario_id,quarter,primary_fiscal_flow_to_du_bil,non_debt_outlays_to_du_bil,receipts_from_du_bil,primary_flow_status,aggregate_primary_deficit_bil,du_primary_flow_share_assumption,recipient_mapping_status,assumption_mode,central_default_eligible,source_family,source_key,source_status,claim_boundary
current_mix_baseline,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_higher_for_longer,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_rapid_easing,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_higher_for_longer,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_rapid_easing,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_higher_for_longer,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_rapid_easing,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bear_steepener,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bull_flattener,2035Q3,189.990500000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,759.962000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_baseline,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_higher_for_longer,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_rapid_easing,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_higher_for_longer,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_rapid_easing,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_higher_for_longer,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_rapid_easing,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bear_steepener,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bull_flattener,2035Q4,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_baseline,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_higher_for_longer,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_rapid_easing,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_higher_for_longer,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_rapid_easing,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_higher_for_longer,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift_rapid_easing,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bear_steepener,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_bull_flattener,2036Q1,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_baseline,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
reserve_user_absorption_shift,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_higher_for_longer,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
current_mix_rapid_easing,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
domestic_nonbank_absorption_shift_higher_for_longer,2036Q2,242.762750000000,,,aggregate_cash_proxy_from_cbo_total_deficit_less_net_interest,971.051000000000,1.0,recipient_mapping_unavailable_aggregate_proxy,true,true,cbo_budget_projection,51118-2026-02-Budget-Projections.xlsx:Table 1-1,source_backed_federal_fiscal_year_mapped_to_calendar_quarters_aggregate_primary_deficit_proxy_not_recipient_mapped,tdcsim_ratewall_source_backed_input_contract_not_evidence_mode
